AMD,INTEL,NVIDIA,OTHER
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
27.26,4.91,65.38,2.45
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
32.98,6.22,59.11,1.69
38.87,3.27,56.78,1.08
38.86,3.45,56.68,1.01
38.49,3.28,57.28,0.95
39.85,3.14,55.98,1.03
36.26,9.05,49.49,5.2
36,10.28,48.08,5.64
35.77,10.46,47.93,5.84
35.63,10.99,47.36,6.02
35.53,11.61,46.52,6.34
35.58,11.18,46.68,6.56
35.65,10.65,46.74,6.96
36.55,11.05,52.4,0
34.92,11.53,53.13,0.42
34.2,13.23,52.13,0.44
34,13.32,52.22,0.46
33.92,13.1,52.39,0.59
33.72,13.57,52.26,0.45
33.62,13.26,52.73,0.39
33.4,13.84,52.37,0.39
33.72,13.72,52.2,0.36
33.23,14.16,52.23,0.38
33.08,14.18,52.38,0.36
32.66,14.98,51.98,0.38
32.17,16.03,51.43,0.37
32.05,15.47,52.12,0.36
31.35,16.56,51.67,0.42
31.36,16.25,52.01,0.38
31.03,16.23,52.38,0.36
31.03,16.66,51.94,0.37
30.76,16.75,52.15,0.34
30.76,16.48,52.43,0.33
30.41,17.5,51.71,0.38
29.8,18.89,50.93,0.38
29.65,18.92,51.06,0.37
29.47,18.63,51.56,0.34
29.32,18.72,51.56,0.4
29.33,18.88,51.41,0.38
29,19.1,51.52,0.38
28.88,19.17,51.57,0.38
28.6,19.2,51.83,0.37
28.54,19.71,51.37,0.38
27.95,19.3,52.39,0.36
28.15,19.61,51.85,0.39
27.72,19.88,52,0.4
27.34,19.69,52.47,0.5
26.98,20.19,52.21,0.62
27.05,19.27,53.29,0.39
26.62,18.81,54.15,0.42
26.32,18.71,54.51,0.46
26.23,18.66,54.61,0.5
26.21,18.49,54.83,0.47
26.02,17.78,55.79,0.41
25.5,17.77,56.35,0.38
25.36,17.68,56.58,0.38
25.46,17.53,56.64,0.37
25.14,17.77,56.71,0.38
24.68,17.89,56.98,0.45
24.44,17.56,57.57,0.43
24.06,17.7,57.8,0.44
23.84,17.89,57.83,0.44
23.46,17.48,58.62,0.44
23.28,17.41,58.84,0.47
23.41,17.39,58.73,0.47
23.62,16.2,59.8,0.38
22.14,16.27,61.21,0.38
21.92,16.15,61.54,0.39
21.53,15.65,62.41,0.41
20.5,15.54,63.61,0.35
20.23,15.52,63.9,0.35
18.63,13.41,67.62,0.34
17.14,12.23,70.32,0.31
10.84,7.54,81.4,0.22
8.75,6.16,84.87,0.22
8.95,5.98,84.88,0.19
8.16,5.26,86.43,0.15
8.91,5.63,85.3,0.16
10.75,6.8,82.29,0.16
14.89,9.69,75.26,0.16
15.2,10.09,74.54,0.17
15.08,10.44,74.32,0.16
13.91,9.58,76.35,0.16
15.01,10.84,73.97,0.18
14.6,10.21,75.02,0.17
13.93,9.33,76.56,0.18
15.21,10.53,74.11,0.15
15.08,10.58,74.18,0.16
15.34,10.55,73.97,0.14
14.68,10.15,75.02,0.15
14.9,10.21,74.75,0.14
15.31,9.75,74.8,0.14
14.87,9.92,75.07,0.14
14.75,9.58,75.53,0.14
14.68,9.65,75.53,0.14
15.06,9.99,74.82,0.13
15.1,9.82,74.93,0.15
14.99,9.27,75.6,0.14
15.48,9.83,74.55,0.14
14.39,9.19,76.27,0.15
15.28,9.6,74.96,0.16
15.74,9.74,74.38,0.14
13.38,8.6,77.87,0.15
15.85,10.73,73.28,0.14
15.98,10.63,73.23,0.16
16.23,10.1,73.53,0.14
16.04,9.55,74.27,0.14
16.25,9.8,73.82,0.13
16.29,9.71,73.88,0.12
16.08,9.51,74.29,0.12
16.53,9.48,73.86,0.13
10.84,5.9,83.16,0.1
